point_id,area,x,y,infra_1,infra_2,infra_3,infra_4
R00C00,zone_A,0.577,0.188,-49.33,-28.33,-15.00,-31.00
R00C01,zone_A,1.731,0.188,-43.67,-29.00,-20.00,-33.00
R00C02,zone_A,2.885,0.188,-43.33,-29.67,-27.00,-33.00
R00C03,zone_A,4.038,0.188,-44.33,-36.33,-30.00,-29.00
R00C04,zone_A,5.192,0.188,-49.00,-30.67,-32.00,-30.00
R00C05,zone_B,6.346,0.188,-51.67,-38.33,-34.33,-29.00
R00C06,zone_B,7.500,0.188,-48.33,-35.00,-32.33,-29.67
R00C07,zone_B,8.654,0.188,-49.67,-31.33,-35.67,-28.33
R00C08,zone_B,9.808,0.188,-47.00,-35.67,-35.00,-28.00
R00C09,zone_C,10.962,0.188,-50.33,-29.33,-39.67,-28.33
R00C10,zone_C,12.115,0.188,-45.33,-30.67,-39.33,-26.00
R00C11,zone_C,13.269,0.188,-54.33,-30.67,-35.33,-23.67
R00C12,zone_C,14.423,0.188,-46.00,-38.67,-40.00,-24.33
R01C00,zone_A,0.577,0.562,-49.33,-31.67,-6.00,-29.00
R01C01,zone_A,1.731,0.562,-47.67,-26.33,-19.33,-31.67
R01C02,zone_A,2.885,0.562,-45.00,-31.33,-22.33,-30.67
R01C03,zone_A,4.038,0.562,-45.67,-33.33,-24.67,-32.67
R01C04,zone_A,5.192,0.562,-45.00,-33.67,-27.33,-31.00
R01C05,zone_B,6.346,0.562,-44.00,-31.33,-31.00,-35.00
R01C06,zone_B,7.500,0.562,-47.00,-35.00,-34.33,-27.33
R01C07,zone_B,8.654,0.562,-46.33,-35.00,-35.00,-28.67
R01C08,zone_B,9.808,0.562,-50.67,-36.33,-36.00,-28.00
R01C09,zone_C,10.962,0.562,-47.67,-32.33,-36.67,-25.00
R01C10,zone_C,12.115,0.562,-47.67,-31.67,-41.00,-28.33
R01C11,zone_C,13.269,0.562,-43.67,-32.67,-37.67,-28.67
R01C12,zone_C,14.423,0.562,-49.33,-32.67,-38.33,-26.00
R02C00,zone_A,0.577,0.938,-45.33,-31.00,-11.00,-28.67
R02C01,zone_A,1.731,0.938,-46.00,-25.00,-25.33,-29.00
R02C02,zone_A,2.885,0.938,-46.67,-34.33,-25.67,-31.00
R02C03,zone_A,4.038,0.938,-46.00,-36.67,-30.33,-32.00
R02C04,zone_A,5.192,0.938,-49.00,-35.00,-32.67,-28.67
R02C05,zone_B,6.346,0.938,-46.33,-33.00,-33.33,-31.33
R02C06,zone_B,7.500,0.938,-47.00,-40.00,-36.00,-28.00
R02C07,zone_B,8.654,0.938,-48.00,-38.33,-38.00,-28.00
R02C08,zone_B,9.808,0.938,-45.67,-38.33,-35.67,-27.67
R02C09,zone_C,10.962,0.938,-47.00,-31.00,-36.33,-29.00
R02C10,zone_C,12.115,0.938,-45.00,-33.67,-41.33,-28.00
R02C11,zone_C,13.269,0.938,-43.33,-27.33,-42.00,-27.67
R02C12,zone_C,14.423,0.938,-50.33,-33.00,-38.67,-26.00
R03C00,zone_A,0.577,1.312,-46.00,-26.00,-19.00,-25.33
R03C01,zone_A,1.731,1.312,-47.00,-26.33,-24.33,-33.67
R03C02,zone_A,2.885,1.312,-47.00,-32.00,-29.00,-28.33
R03C03,zone_A,4.038,1.312,-44.67,-37.33,-29.33,-33.00
R03C04,zone_A,5.192,1.312,-43.67,-40.00,-32.67,-28.33
R03C05,zone_B,6.346,1.312,-44.67,-30.00,-37.67,-29.67
R03C06,zone_B,7.500,1.312,-47.00,-35.00,-36.67,-31.33
R03C07,zone_B,8.654,1.312,-47.67,-34.00,-42.67,-26.67
R03C08,zone_B,9.808,1.312,-49.00,-35.00,-39.33,-28.00
R03C09,zone_C,10.962,1.312,-48.67,-31.00,-39.67,-28.67
R03C10,zone_C,12.115,1.312,-46.33,-31.67,-41.67,-31.00
R03C11,zone_C,13.269,1.312,-49.67,-29.67,-41.67,-31.33
R03C12,zone_C,14.423,1.312,-52.33,-31.33,-44.00,-31.67
R04C00,zone_A,0.577,1.688,-47.00,-24.00,-28.33,-27.33
R04C01,zone_A,1.731,1.688,-49.33,-26.33,-28.67,-34.00
R04C02,zone_A,2.885,1.688,-47.00,-37.67,-30.33,-29.33
R04C03,zone_A,4.038,1.688,-46.67,-34.67,-28.33,-29.33
R04C04,zone_A,5.192,1.688,-51.00,-44.33,-34.00,-27.00
R04C05,zone_B,6.346,1.688,-49.00,-32.67,-34.33,-27.33
R04C06,zone_B,7.500,1.688,-48.00,-34.33,-35.67,-27.00
R04C07,zone_B,8.654,1.688,-46.33,-32.33,-37.00,-24.33
R04C08,zone_B,9.808,1.688,-46.00,-33.33,-40.00,-26.67
R04C09,zone_C,10.962,1.688,-55.00,-32.67,-42.33,-28.00
R04C10,zone_C,12.115,1.688,-48.00,-37.33,-41.67,-31.33
R04C11,zone_C,13.269,1.688,-44.00,-31.00,-41.00,-29.67
R04C12,zone_C,14.423,1.688,-49.67,-36.00,-42.33,-30.00
R05C00,zone_A,0.577,2.062,-47.00,-27.67,-31.33,-28.67
R05C01,zone_A,1.731,2.062,-49.33,-26.33,-27.33,-27.67
R05C02,zone_A,2.885,2.062,-48.00,-27.00,-31.67,-27.33
R05C03,zone_A,4.038,2.062,-48.33,-38.33,-31.00,-24.33
R05C04,zone_A,5.192,2.062,-48.33,-36.00,-36.00,-23.67
R05C05,zone_B,6.346,2.062,-46.00,-36.33,-37.33,-30.33
R05C06,zone_B,7.500,2.062,-44.67,-30.00,-39.33,-27.67
R05C07,zone_B,8.654,2.062,-47.00,-29.67,-40.67,-28.33
R05C08,zone_B,9.808,2.062,-46.00,-32.00,-38.67,-29.67
R05C09,zone_C,10.962,2.062,-48.33,-35.33,-42.67,-26.00
R05C10,zone_C,12.115,2.062,-49.33,-39.33,-37.33,-25.33
R05C11,zone_C,13.269,2.062,-49.00,-42.00,-40.00,-26.33
R05C12,zone_C,14.423,2.062,-47.33,-36.00,-45.00,-23.67
R06C00,zone_A,0.577,2.438,-42.67,-23.33,-31.00,-29.33
R06C01,zone_A,1.731,2.438,-44.00,-27.67,-32.00,-33.33
R06C02,zone_A,2.885,2.438,-48.67,-31.00,-35.67,-36.33
R06C03,zone_A,4.038,2.438,-39.67,-31.67,-27.00,-32.00
R06C04,zone_A,5.192,2.438,-44.33,-25.00,-33.00,-23.67
R06C05,zone_B,6.346,2.438,-45.67,-25.33,-35.33,-23.00
R06C06,zone_B,7.500,2.438,-40.67,-26.00,-40.00,-25.33
R06C07,zone_B,8.654,2.438,-48.67,-30.33,-41.00,-27.33
R06C08,zone_B,9.808,2.438,-45.67,-34.00,-33.00,-23.33
R06C09,zone_C,10.962,2.438,-41.67,-35.67,-38.00,-24.00
R06C10,zone_C,12.115,2.438,-46.00,-29.00,-37.67,-28.67
R06C11,zone_C,13.269,2.438,-52.33,-29.67,-40.33,-27.33
R06C12,zone_C,14.423,2.438,-48.67,-34.33,-40.33,-30.00
R07C00,zone_A,0.577,2.812,-44.33,-25.00,-31.00,-32.00
R07C01,zone_A,1.731,2.812,-41.00,-26.00,-32.67,-33.33
R07C02,zone_A,2.885,2.812,-44.33,-28.67,-35.67,-38.67
R07C03,zone_A,4.038,2.812,-41.00,-29.67,-34.67,-23.00
R07C04,zone_A,5.192,2.812,-44.33,-29.67,-39.00,-28.00
R07C05,zone_B,6.346,2.812,-42.33,-23.67,-37.00,-23.67
R07C06,zone_B,7.500,2.812,-47.33,-24.67,-39.00,-26.67
R07C07,zone_B,8.654,2.812,-45.33,-30.33,-43.00,-31.00
R07C08,zone_B,9.808,2.812,-44.00,-28.67,-40.33,-29.67
R07C09,zone_C,10.962,2.812,-46.33,-29.33,-40.00,-27.00
R07C10,zone_C,12.115,2.812,-43.33,-32.00,-42.33,-26.33
R07C11,zone_C,13.269,2.812,-48.00,-29.67,-46.00,-29.00
R07C12,zone_C,14.423,2.812,-46.33,-37.00,-45.33,-27.00
R08C00,zone_D,0.577,3.188,-38.33,-27.33,-32.67,-35.67
R08C01,zone_D,1.731,3.188,-41.67,-28.33,-35.67,-33.33
R08C02,zone_D,2.885,3.188,-45.33,-23.33,-32.67,-35.67
R08C03,zone_D,4.038,3.188,-42.33,-23.33,-41.67,-35.33
R08C04,zone_D,5.192,3.188,-44.00,-27.33,-39.00,-34.33
R08C05,zone_E,6.346,3.188,-43.00,-27.33,-36.67,-33.67
R08C06,zone_E,7.500,3.188,-49.33,-26.00,-39.67,-31.33
R08C07,zone_E,8.654,3.188,-44.67,-34.33,-41.33,-37.00
R08C08,zone_E,9.808,3.188,-43.67,-35.33,-38.33,-31.67
R08C09,zone_F,10.962,3.188,-46.67,-31.33,-43.67,-31.67
R08C10,zone_F,12.115,3.188,-42.00,-31.33,-43.00,-31.00
R08C11,zone_F,13.269,3.188,-43.33,-32.33,-44.33,-32.00
R08C12,zone_F,14.423,3.188,-46.00,-33.00,-46.00,-32.33
R09C00,zone_D,0.577,3.562,-42.67,-27.00,-37.67,-34.33
R09C01,zone_D,1.731,3.562,-42.33,-27.00,-38.67,-36.33
R09C02,zone_D,2.885,3.562,-45.67,-30.00,-36.00,-34.00
R09C03,zone_D,4.038,3.562,-45.33,-23.00,-39.67,-32.33
R09C04,zone_D,5.192,3.562,-43.67,-28.67,-40.33,-36.00
R09C05,zone_E,6.346,3.562,-43.67,-35.00,-44.33,-27.67
R09C06,zone_E,7.500,3.562,-41.67,-34.33,-48.00,-30.67
R09C07,zone_E,8.654,3.562,-48.00,-30.33,-42.33,-35.00
R09C08,zone_E,9.808,3.562,-47.00,-32.67,-45.00,-35.67
R09C09,zone_F,10.962,3.562,-43.33,-35.67,-42.00,-29.00
R09C10,zone_F,12.115,3.562,-48.67,-37.00,-41.00,-32.00
R09C11,zone_F,13.269,3.562,-45.67,-35.67,-46.00,-33.00
R09C12,zone_F,14.423,3.562,-45.67,-32.33,-43.00,-31.67
R10C00,zone_D,0.577,3.938,-42.67,-27.00,-38.00,-35.33
R10C01,zone_D,1.731,3.938,-45.33,-30.33,-38.33,-34.67
R10C02,zone_D,2.885,3.938,-45.00,-27.33,-36.00,-36.33
R10C03,zone_D,4.038,3.938,-39.67,-26.00,-38.33,-27.33
R10C04,zone_D,5.192,3.938,-40.00,-29.33,-39.33,-27.33
R10C05,zone_E,6.346,3.938,-43.00,-25.67,-46.33,-29.00
R10C06,zone_E,7.500,3.938,-39.67,-35.67,-45.33,-34.33
R10C07,zone_E,8.654,3.938,-45.33,-31.33,-44.00,-29.00
R10C08,zone_E,9.808,3.938,-44.33,-28.67,-41.00,-33.33
R10C09,zone_F,10.962,3.938,-44.67,-29.00,-44.67,-32.33
R10C10,zone_F,12.115,3.938,-41.33,-31.00,-39.00,-31.33
R10C11,zone_F,13.269,3.938,-45.00,-34.00,-47.00,-34.33
R10C12,zone_F,14.423,3.938,-44.33,-36.67,-44.67,-30.67
R11C00,zone_D,0.577,4.312,-42.33,-31.67,-39.33,-35.33
R11C01,zone_D,1.731,4.312,-42.00,-26.33,-40.00,-34.00
R11C02,zone_D,2.885,4.312,-45.67,-28.00,-39.67,-35.67
R11C03,zone_D,4.038,4.312,-46.33,-29.67,-32.33,-33.00
R11C04,zone_D,5.192,4.312,-43.33,-23.00,-37.33,-29.67
R11C05,zone_E,6.346,4.312,-39.67,-24.67,-42.33,-30.00
R11C06,zone_E,7.500,4.312,-42.00,-27.00,-43.33,-34.67
R11C07,zone_E,8.654,4.312,-43.00,-29.33,-43.67,-29.33
R11C08,zone_E,9.808,4.312,-40.33,-24.00,-41.67,-31.67
