rank,k,region_k,missing_rssi,weight_power,use_region_filter,mean_error_m,median_error_m,p90_error_m,max_error_m,nearest_mean_error_m,samples
1,10,3,-100.0,2.0,False,2.4405,2.0001,5.0108,11.7934,3.2097,312
2,10,3,-100.0,2.0,True,2.4405,2.0001,5.0108,11.7934,3.2097,312
3,10,5,-100.0,2.0,False,2.4405,2.0001,5.0108,11.7934,3.2097,312
4,10,5,-100.0,2.0,True,2.4405,2.0001,5.0108,11.7934,3.2097,312
5,10,8,-100.0,2.0,False,2.4405,2.0001,5.0108,11.7934,3.2097,312
6,10,8,-100.0,2.0,True,2.4405,2.0001,5.0108,11.7934,3.2097,312
7,10,10,-100.0,2.0,False,2.4405,2.0001,5.0108,11.7934,3.2097,312
8,10,10,-100.0,2.0,True,2.4405,2.0001,5.0108,11.7934,3.2097,312
9,10,15,-100.0,2.0,False,2.4405,2.0001,5.0108,11.7934,3.2097,312
10,10,15,-100.0,2.0,True,2.4405,2.0001,5.0108,11.7934,3.2097,312
11,10,20,-100.0,2.0,False,2.4405,2.0001,5.0108,11.7934,3.2097,312
12,10,20,-100.0,2.0,True,2.4405,2.0001,5.0108,11.7934,3.2097,312
13,10,3,-95.0,2.0,False,2.4405,2.0001,5.0108,11.7934,3.2097,312
14,10,3,-95.0,2.0,True,2.4405,2.0001,5.0108,11.7934,3.2097,312
15,10,5,-95.0,2.0,False,2.4405,2.0001,5.0108,11.7934,3.2097,312
16,10,5,-95.0,2.0,True,2.4405,2.0001,5.0108,11.7934,3.2097,312
17,10,8,-95.0,2.0,False,2.4405,2.0001,5.0108,11.7934,3.2097,312
18,10,8,-95.0,2.0,True,2.4405,2.0001,5.0108,11.7934,3.2097,312
19,10,10,-95.0,2.0,False,2.4405,2.0001,5.0108,11.7934,3.2097,312
20,10,10,-95.0,2.0,True,2.4405,2.0001,5.0108,11.7934,3.2097,312
21,10,15,-95.0,2.0,False,2.4405,2.0001,5.0108,11.7934,3.2097,312
22,10,15,-95.0,2.0,True,2.4405,2.0001,5.0108,11.7934,3.2097,312
23,10,20,-95.0,2.0,False,2.4405,2.0001,5.0108,11.7934,3.2097,312
24,10,20,-95.0,2.0,True,2.4405,2.0001,5.0108,11.7934,3.2097,312
25,10,3,-90.0,2.0,False,2.4405,2.0001,5.0108,11.7934,3.2097,312
26,10,3,-90.0,2.0,True,2.4405,2.0001,5.0108,11.7934,3.2097,312
27,10,5,-90.0,2.0,False,2.4405,2.0001,5.0108,11.7934,3.2097,312
28,10,5,-90.0,2.0,True,2.4405,2.0001,5.0108,11.7934,3.2097,312
29,10,8,-90.0,2.0,False,2.4405,2.0001,5.0108,11.7934,3.2097,312
30,10,8,-90.0,2.0,True,2.4405,2.0001,5.0108,11.7934,3.2097,312
31,10,10,-90.0,2.0,False,2.4405,2.0001,5.0108,11.7934,3.2097,312
32,10,10,-90.0,2.0,True,2.4405,2.0001,5.0108,11.7934,3.2097,312
33,10,15,-90.0,2.0,False,2.4405,2.0001,5.0108,11.7934,3.2097,312
34,10,15,-90.0,2.0,True,2.4405,2.0001,5.0108,11.7934,3.2097,312
35,10,20,-90.0,2.0,False,2.4405,2.0001,5.0108,11.7934,3.2097,312
36,10,20,-90.0,2.0,True,2.4405,2.0001,5.0108,11.7934,3.2097,312
37,10,3,-100.0,1.5,False,2.4413,1.9714,4.9269,11.8004,3.2097,312
38,10,3,-100.0,1.5,True,2.4413,1.9714,4.9269,11.8004,3.2097,312
39,10,5,-100.0,1.5,False,2.4413,1.9714,4.9269,11.8004,3.2097,312
40,10,5,-100.0,1.5,True,2.4413,1.9714,4.9269,11.8004,3.2097,312
41,10,8,-100.0,1.5,False,2.4413,1.9714,4.9269,11.8004,3.2097,312
42,10,8,-100.0,1.5,True,2.4413,1.9714,4.9269,11.8004,3.2097,312
43,10,10,-100.0,1.5,False,2.4413,1.9714,4.9269,11.8004,3.2097,312
44,10,10,-100.0,1.5,True,2.4413,1.9714,4.9269,11.8004,3.2097,312
45,10,15,-100.0,1.5,False,2.4413,1.9714,4.9269,11.8004,3.2097,312
46,10,15,-100.0,1.5,True,2.4413,1.9714,4.9269,11.8004,3.2097,312
47,10,20,-100.0,1.5,False,2.4413,1.9714,4.9269,11.8004,3.2097,312
48,10,20,-100.0,1.5,True,2.4413,1.9714,4.9269,11.8004,3.2097,312
49,10,3,-95.0,1.5,False,2.4413,1.9714,4.9269,11.8004,3.2097,312
50,10,3,-95.0,1.5,True,2.4413,1.9714,4.9269,11.8004,3.2097,312
51,10,5,-95.0,1.5,False,2.4413,1.9714,4.9269,11.8004,3.2097,312
52,10,5,-95.0,1.5,True,2.4413,1.9714,4.9269,11.8004,3.2097,312
53,10,8,-95.0,1.5,False,2.4413,1.9714,4.9269,11.8004,3.2097,312
54,10,8,-95.0,1.5,True,2.4413,1.9714,4.9269,11.8004,3.2097,312
55,10,10,-95.0,1.5,False,2.4413,1.9714,4.9269,11.8004,3.2097,312
56,10,10,-95.0,1.5,True,2.4413,1.9714,4.9269,11.8004,3.2097,312
57,10,15,-95.0,1.5,False,2.4413,1.9714,4.9269,11.8004,3.2097,312
58,10,15,-95.0,1.5,True,2.4413,1.9714,4.9269,11.8004,3.2097,312
59,10,20,-95.0,1.5,False,2.4413,1.9714,4.9269,11.8004,3.2097,312
60,10,20,-95.0,1.5,True,2.4413,1.9714,4.9269,11.8004,3.2097,312
61,10,3,-90.0,1.5,False,2.4413,1.9714,4.9269,11.8004,3.2097,312
62,10,3,-90.0,1.5,True,2.4413,1.9714,4.9269,11.8004,3.2097,312
63,10,5,-90.0,1.5,False,2.4413,1.9714,4.9269,11.8004,3.2097,312
64,10,5,-90.0,1.5,True,2.4413,1.9714,4.9269,11.8004,3.2097,312
65,10,8,-90.0,1.5,False,2.4413,1.9714,4.9269,11.8004,3.2097,312
66,10,8,-90.0,1.5,True,2.4413,1.9714,4.9269,11.8004,3.2097,312
67,10,10,-90.0,1.5,False,2.4413,1.9714,4.9269,11.8004,3.2097,312
