rank,k,region_k,missing_rssi,weight_power,use_region_filter,mean_error_m,median_error_m,p90_error_m,max_error_m,nearest_mean_error_m,samples
1,12,3,-110.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
2,12,3,-110.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
3,12,5,-110.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
4,12,5,-110.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
5,12,8,-110.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
6,12,8,-110.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
7,12,10,-110.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
8,12,10,-110.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
9,12,15,-110.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
10,12,15,-110.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
11,12,20,-110.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
12,12,20,-110.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
13,12,30,-110.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
14,12,30,-110.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
15,12,3,-105.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
16,12,3,-105.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
17,12,5,-105.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
18,12,5,-105.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
19,12,8,-105.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
20,12,8,-105.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
21,12,10,-105.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
22,12,10,-105.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
23,12,15,-105.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
24,12,15,-105.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
25,12,20,-105.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
26,12,20,-105.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
27,12,30,-105.0,2.0,False,2.4264,2.0322,4.9357,11.3753,3.2097,312
28,12,30,-105.0,2.0,True,2.4264,2.0322,4.9357,11.3753,3.2097,312
