rank,k,region_k,region_count,missing_rssi,weight_power,use_region_filter,mean_error_m,median_error_m,p90_error_m,max_error_m,nearest_mean_error_m,samples
1,12,15,3,-110.0,1.5,True,2.3893,1.9094,4.8213,11.3039,3.1635,312
2,12,15,3,-105.0,1.5,True,2.3893,1.9094,4.8213,11.3039,3.1635,312
3,12,15,3,-100.0,1.5,True,2.3893,1.9094,4.8213,11.3039,3.1635,312
4,12,15,3,-95.0,1.5,True,2.3893,1.9094,4.8213,11.3039,3.1635,312
5,12,15,3,-110.0,2.0,True,2.3951,1.9124,4.8223,11.3753,3.1971,312
6,12,15,3,-105.0,2.0,True,2.3951,1.9124,4.8223,11.3753,3.1971,312
7,12,15,3,-100.0,2.0,True,2.3951,1.9124,4.8223,11.3753,3.1971,312
8,12,15,3,-95.0,2.0,True,2.3951,1.9124,4.8223,11.3753,3.1971,312
9,12,30,3,-110.0,2.0,True,2.3956,1.8870,4.8706,11.3753,3.1941,312
10,12,30,3,-105.0,2.0,True,2.3956,1.8870,4.8706,11.3753,3.1941,312
11,12,30,3,-100.0,2.0,True,2.3956,1.8870,4.8706,11.3753,3.1941,312
12,12,30,3,-95.0,2.0,True,2.3956,1.8870,4.8706,11.3753,3.1941,312
13,10,15,3,-110.0,1.5,True,2.4016,1.9087,4.8346,11.8004,3.1635,312
14,10,15,3,-105.0,1.5,True,2.4016,1.9087,4.8346,11.8004,3.1635,312
15,10,15,3,-100.0,1.5,True,2.4016,1.9087,4.8346,11.8004,3.1635,312
16,10,15,3,-95.0,1.5,True,2.4016,1.9087,4.8346,11.8004,3.1635,312
17,15,6,3,-110.0,1.5,True,2.4053,1.8518,4.7407,11.4840,3.1635,312
18,15,9,3,-110.0,1.5,True,2.4053,1.8518,4.7407,11.4840,3.1635,312
19,15,12,3,-110.0,1.5,True,2.4053,1.8518,4.7407,11.4840,3.1635,312
20,15,15,3,-110.0,1.5,True,2.4053,1.8518,4.7407,11.4840,3.1635,312
21,15,6,3,-105.0,1.5,True,2.4053,1.8518,4.7407,11.4840,3.1635,312
22,15,9,3,-105.0,1.5,True,2.4053,1.8518,4.7407,11.4840,3.1635,312
23,15,12,3,-105.0,1.5,True,2.4053,1.8518,4.7407,11.4840,3.1635,312
24,15,15,3,-105.0,1.5,True,2.4053,1.8518,4.7407,11.4840,3.1635,312
25,15,6,3,-100.0,1.5,True,2.4053,1.8518,4.7407,11.4840,3.1635,312
26,15,9,3,-100.0,1.5,True,2.4053,1.8518,4.7407,11.4840,3.1635,312
27,15,12,3,-100.0,1.5,True,2.4053,1.8518,4.7407,11.4840,3.1635,312
28,15,15,3,-100.0,1.5,True,2.4053,1.8518,4.7407,11.4840,3.1635,312
